"","X","�..GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","OBSERVATION.COUNT","BREEDING.BIRD.ATLAS.CODE","BREEDING.BIRD.ATLAS.CATEGORY","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","MONTH","DAY","YEAR","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS"
"11",109443,"URN:CornellLabOfOrnithology:EBIRD:OBS593628241","8/5/2018 10:02",5920,"species","American Woodcock","Scolopax minor",NA,NA,"6","","","","United States","US","New York","US-NY","Onondaga","US-NY-067","",13,"","","Three Rivers WMA--Kellogg Rd.","L2183289","H",43.1964164,-76.3266563,3,30,2018,"19:55:00","obsr228102","S44102307","Traveling","P22","EBIRD",11,0.805,NA,2,1,"G3051801",0,1,0,NA,"",""
"12",107314,"URN:CornellLabOfOrnithology:EBIRD:OBS473480418","3/7/2017 18:19",5920,"species","American Woodcock","Scolopax minor",NA,NA,"9","","","","United States","US","New York","US-NY","Richmond","US-NY-085","",30,"","","Mt. Loretto Unique Area","L293510","H",40.5093424,-74.2181292,3,7,2017,"18:19:00","obsr160888","S35032416","Stationary","P21","EBIRD",5,NA,NA,1,1,"",0,1,0,NA,"",""
"13",136110,"URN:CornellLabOfOrnithology:EBIRD:OBS613930517","5/7/2019 20:00",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Ottawa","US-OH-123","US-OH_2044",22,"","","Magee Marsh (Ottawa Co.)","L275517","H",41.6140595,-83.163414,5,7,2018,"8:00:00","obsr228956","S45451485","Traveling","P22","EBIRD",289,7.746,NA,1,1,"",0,1,0,NA,"Frank","Photo to follow "
"14",136904,"URN:CornellLabOfOrnithology:EBIRD:OBS616441532","5/30/2018 19:48",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Lucas","US-OH-095","US-OH_2044",22,"","","Magee Marsh--Boardwalk","L275986","H",41.6277095,-83.191884,5,11,2018,"8:35:00","obsr433631","S45596740","Traveling","P22","EBIRD",155,2.097,NA,5,1,"",1,1,0,NA,"",""
"15",139914,"URN:CornellLabOfOrnithology:EBIRD:OBS878146262","3/14/2020 9:02",5920,"species","American Woodcock","Scolopax minor",NA,NA,"15","","","","United States","US","Ohio","US-OH","Harrison","US-OH-067","",28,"","","Jockey Hollow Wildlife Area (Harrison Co.)","L1914582","H",40.203329,-81.103992,3,14,2020,"6:52:00","obsr421424","S65768612","Traveling","P22","EBIRD",26,2.182,NA,2,1,"G5082099",0,1,0,NA,"",""
"16",105725,"URN:CornellLabOfOrnithology:EBIRD:OBS381208189","3/23/2016 8:22",5920,"species","American Woodcock","Scolopax minor",NA,NA,"2","","","","United States","US","New York","US-NY","Wayne","US-NY-117","",13,"","","YARD 43.2826553, -76.8022361","L1113104","P",43.2826553,-76.8022361,3,13,2016,"19:47:00","obsr248068","S28152453","Stationary","P21","EBIRD",10,NA,NA,3,1,"G1659117",0,1,0,NA,"FOY, they have returned.<br />Submitted from eBird Android 1.0.2","Typical calls heard."
"17",231996,"URN:CornellLabOfOrnithology:EBIRD:OBS917259444","5/9/2020 19:37",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Wisconsin","US-WI","Juneau","US-WI-057","",23,"USFWS_53","","Blueberry Trail State Natural Area","L11395240","P",44.069625,-90.304355,5,9,2020,"11:22:00","obsr555551","S68747665","Traveling","P22","EBIRD_WI",86,3.058,NA,1,1,"",0,1,0,NA,"",""
"18",130964,"URN:CornellLabOfOrnithology:EBIRD:OBS413402038","5/11/2018 13:09",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Lucas","US-OH-095","US-OH_2044",22,"","","Magee Marsh--Boardwalk","L275986","H",41.6277095,-83.191884,5,10,2016,"8:00:00","obsr202856","S30334285","Traveling","P22","EBIRD",170,0.966,NA,4,1,"G1822697",0,1,0,NA,"During ""The Biggest Week in American Birding""",""
"19",106651,"URN:CornellLabOfOrnithology:EBIRD:OBS421530617","8/6/2018 22:39",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","New York","US-NY","Jefferson","US-NY-045","",13,"","","River Road, private property","L4834979","P",44.1209529,-75.7981002,6,6,2016,"9:00:00","obsr273701","S30958250","Traveling","P22","EBIRD",40,2.414,NA,1,1,"",0,1,0,NA,"",""
"20",133651,"URN:CornellLabOfOrnithology:EBIRD:OBS498565760","5/11/2018 13:09",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Lucas","US-OH-095","US-OH_2044",22,"","","Magee Marsh--Boardwalk","L275986","H",41.6277095,-83.191884,5,12,2017,"7:47:00","obsr802162","S36793928","Traveling","P22","EBIRD",230,3.219,NA,3,1,"G2424541",0,1,0,NA,"",""
"21",222709,"URN:CornellLabOfOrnithology:EBIRD:OBS252549327","7/2/2014 18:03",5920,"species","American Woodcock","Scolopax minor",NA,NA,"3","","","","United States","US","Wisconsin","US-WI","Marathon","US-WI-073","US-WI_3652",23,"","","George W. Mead SWA--Co. Hwy. S","L2209496","H",44.6947605,-89.8657179,5,9,2014,"4:13:00","obsr291680","S18330911","Stationary","P21","EBIRD",3,NA,NA,2,1,"",0,1,0,NA,"<br />Submitted from BirdLog NA for iOS, version 1.7.1",""
"22",68682,"URN:CornellLabOfOrnithology:EBIRD:OBS607093043","4/28/2018 21:32",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Michigan","US-MI","Grand Traverse","US-MI-055","US-MI_3890",12,"","","mike's","L652889","P",44.6729013,-85.6277052,4,28,2018,"21:07:00","obsr172641","S45048227","Stationary","P21","EBIRD",12,NA,NA,1,1,"",0,1,0,NA,"one flight no meaps, 36*F, spring peepers don't care, near record lows tonight almost full moon",""
"23",103620,"URN:CornellLabOfOrnithology:EBIRD:OBS259096087","6/23/2015 9:18",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","New York","US-NY","Hamilton","US-NY-041","US-NY_864",14,"","","Moose River Plains--Moose River Rd.","L767538","H",43.6755077,-74.6812391,6,8,2014,"7:32:00","obsr272205","S18744084","Traveling","P22","EBIRD",174,0.805,NA,1,1,"",0,1,0,NA,"<br />Submitted from BirdLog NA for iOS, version 1.6.3",""
"24",137956,"URN:CornellLabOfOrnithology:EBIRD:OBS723617320","3/12/2019 20:09",5920,"species","American Woodcock","Scolopax minor",NA,NA,"4","","","","United States","US","Ohio","US-OH","Franklin","US-OH-049","",22,"","","my yard","L2825305","P",40.1357752,-83.0956721,3,12,2019,"19:51:00","obsr503237","S53753264","Traveling","P22","EBIRD",17,0.155,NA,2,1,"",0,1,0,NA,"",""
"25",103187,"URN:CornellLabOfOrnithology:EBIRD:OBS245236661","9/3/2017 17:11",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","New York","US-NY","Erie","US-NY-029","US-NY_1724",13,"","","(1) Home, Grand Island","L1903774","P",42.9859226,-79.0076402,4,12,2014,"","obsr214988","S17851464","Incidental","P20","EBIRD",NA,NA,NA,NA,1,"",0,1,0,NA,"","Heard, not seen - overcast evening."
"26",114148,"URN:CornellLabOfOrnithology:EBIRD:OBS887603458","4/2/2020 15:38",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","H ","C2","","United States","US","New York","US-NY","Washington","US-NY-115","",13,"","43073G3SW","Hutton Square Road State Lands","L9393370","P",43.766826,-73.371782,4,2,2020,"10:53:00","obsr543982","S66539465","Traveling","P22","EBIRD_ATL_NY",141,2.14,NA,1,1,"",0,1,0,NA,"Walked the state land along Hutton Square Road north to the marsh/Lake Champlain backwash that separates the property from Billy-Bobâ€™s orchard. A good collection of waterfowl on this body of water.",""
"27",71097,"URN:CornellLabOfOrnithology:EBIRD:OBS893320682","4/11/2020 20:55",5920,"species","American Woodcock","Scolopax minor",NA,NA,"3","T ","C3","","United States","US","Michigan","US-MI","Washtenaw","US-MI-161","",23,"","","Furstenberg Park","L797059","H",42.2775628,-83.7036753,3,21,2020,"20:05:00","obsr721304","S67059082","Traveling","P22","EBIRD",20,1.111,NA,2,1,"G5107545",1,1,0,NA,"JB. Nocturnal. 32 F.","Lots of territoriality. No sky dance. Horizontal chasing and loud  and aggressive muttering/cackling calls in flight. Possible 4th male Peenting in Huron HS parking area across Fuller. Audio obtained. ."
"28",226502,"URN:CornellLabOfOrnithology:EBIRD:OBS489814934","8/5/2018 14:41",5920,"species","American Woodcock","Scolopax minor",NA,NA,"4","","","","United States","US","Wisconsin","US-WI","Dane","US-WI-025","",23,"","","Cherokee Marsh Conservation Park--North Unit","L2846310","H",43.1667973,-89.3649366,4,17,2017,"19:40:00","obsr367538","S36236914","Traveling","P22","EBIRD",42,1.609,NA,1,1,"",0,1,0,NA,"",""
"29",230182,"URN:CornellLabOfOrnithology:EBIRD:OBS755468625","5/10/2019 9:40",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","C ","C3","","United States","US","Wisconsin","US-WI","Eau Claire","US-WI-035","",23,"","4409161NE","23550 County Road G, Augusta, Wisconsin, US (44.747, -91.053)","L9233137","P",44.7469424,-91.0526079,5,9,2019,"20:45:00","obsr330636","S56067568","Stationary","P21","EBIRD_ATL_WI",7,NA,NA,1,1,"",0,1,0,NA,"","Heard flight"
"30",110475,"URN:CornellLabOfOrnithology:EBIRD:OBS638676887","7/10/2018 19:04",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","New York","US-NY","Columbia","US-NY-021","",14,"","","Hand Hollow Conservation Area","L2171768","H",42.468045,-73.4858322,7,10,2018,"9:23:00","obsr634122","S47111224","Traveling","P22","EBIRD",161,7.723,NA,2,1,"G3335497",0,1,0,NA,"",""
"31",103835,"URN:CornellLabOfOrnithology:EBIRD:OBS278100223","10/21/2019 19:06",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","New York","US-NY","New York","US-NY-061","",30,"","","Bryant Park","L683555","H",40.7536729,-73.9832322,10,27,2014,"9:27:00","obsr141469","S20351019","Traveling","P22","EBIRD",20,0.322,NA,1,1,"",0,1,0,NA,"<br />Submitted from BirdLog NA for iOS, version 1.8",""
"32",129939,"URN:CornellLabOfOrnithology:EBIRD:OBS382272713","3/15/2016 20:12",5920,"species","American Woodcock","Scolopax minor",NA,NA,"12","","","","United States","US","Ohio","US-OH","Cuyahoga","US-OH-035","",13,"","","Erie Streeet Cemetery","L2055484","P",41.4977943,-81.6819549,3,15,2016,"14:45:00","obsr269665","S28240477","Traveling","P22","EBIRD",30,0.402,NA,2,1,"",0,1,0,NA,"with Jan Ranhan; cloudy, 50Â°F",""
"33",138861,"URN:CornellLabOfOrnithology:EBIRD:OBS755259928","5/9/2019 16:51",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Lucas","US-OH-095","US-OH_2044",22,"","","Magee Marsh--Boardwalk","L275986","H",41.6277095,-83.191884,5,7,2019,"10:15:00","obsr494909","S56054041","Traveling","P22","EBIRD",290,4.023,NA,2,1,"G4151784",0,1,0,NA,"",""
"34",129039,"URN:CornellLabOfOrnithology:EBIRD:OBS317803611","8/5/2018 12:33",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Lucas","US-OH-095","US-OH_2044",22,"","","Maumee Bay SP--Boardwalk","L339541","H",41.6841898,-83.3654426,5,9,2015,"16:10:00","obsr291455","S23340513","Traveling","P22","EBIRD",65,3.219,NA,2,1,"G1267074",0,1,0,NA,"<br />Submitted from BirdLog NA for iOS, version 1.8",""
"35",231346,"URN:CornellLabOfOrnithology:EBIRD:OBS886628430","3/31/2020 15:20",5920,"species","American Woodcock","Scolopax minor",NA,NA,"2","","","","United States","US","Wisconsin","US-WI","Burnett","US-WI-013","US-WI_2730",12,"","","Crex Meadows SWA--Phantom Lake Rd.","L724627","H",45.8089696,-92.6506985,3,29,2020,"14:00:00","obsr1535302","S66410538","Stationary","P21","EBIRD",60,NA,NA,1,1,"",1,1,0,NA,"",""
"36",139173,"URN:CornellLabOfOrnithology:EBIRD:OBS762023868","5/18/2019 23:42",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Lucas","US-OH-095","US-OH_582",22,"","","Irwin Prairie State Nature Preserve","L608175","H",41.65777,-83.782,5,13,2019,"20:38:00","obsr170656","S56474772","Stationary","P21","EBIRD",13,NA,NA,3,1,"G4195193",0,1,0,NA,"",""
"37",71217,"URN:CornellLabOfOrnithology:EBIRD:OBS884717273","3/27/2020 22:52",5920,"species","American Woodcock","Scolopax minor",NA,NA,"6","","","","United States","US","Michigan","US-MI","Grand Traverse","US-MI-055","US-MI_3890",12,"","","mike's","L652889","P",44.6729013,-85.6277052,3,27,2020,"20:08:00","obsr172641","S66298961","Traveling","P22","EBIRD",24,0.483,NA,1,1,"",0,1,0,NA,"Busy night for the AMWO. Lots of jostling. 4 simultaneously heard meaping just past the frog ponds (two each side of river) and then two shortly thereafter at far end of field. One high aerial chase, one chortle followed by a flushed bird then meap from site. Aerial displays and birds flying about. Nice crescent moon and Venus. 43*F, light breeze.",""
"38",106577,"URN:CornellLabOfOrnithology:EBIRD:OBS406595827","8/5/2018 8:43",5920,"species","American Woodcock","Scolopax minor",NA,NA,"2","","","","United States","US","New York","US-NY","Franklin","US-NY-033","",14,"","","Bloomingdale Bog","L212481","H",44.4128015,-74.121715,5,23,2016,"18:45:00","obsr18411","S29871390","Traveling","P22","EBIRD",117,2.5,NA,2,1,"G1778693",0,1,0,NA,"<br />Submitted from eBird for iOS, version 1.2.0 Build 62",""
"39",133005,"URN:CornellLabOfOrnithology:EBIRD:OBS496284286","5/8/2017 15:53",5920,"species","American Woodcock","Scolopax minor",NA,NA,"2","C ","C3","","United States","US","Ohio","US-OH","Ottawa","US-OH-123","US-OH_2044",22,"USFWS_147","","Black Swamp Bird Observatory and Trails","L740302","H",41.6051585,-83.1933045,5,6,2017,"20:30:00","obsr915280","S36659735","Stationary","P21","EBIRD",45,NA,NA,24,1,"G2392752",0,1,0,NA,"Woodcock Walk BSBO - 8:30PM-9:30PM  --James Muller",""
"40",108516,"URN:CornellLabOfOrnithology:EBIRD:OBS506852144","4/30/2020 13:12",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","New York","US-NY","Albany","US-NY-001","",13,"","","Albany Pine Bush Preserve--Karner Barrens East","L553196","H",42.7184131,-73.8640168,5,31,2017,"21:10:00","obsr164046","S37298349","Stationary","P21","EBIRD",1,NA,NA,1,1,"",0,1,0,NA,"","Peent calls and display flight, at Discovery Center parking lot."
"41",133880,"URN:CornellLabOfOrnithology:EBIRD:OBS498834397","5/11/2018 13:09",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Lucas","US-OH-095","US-OH_2044",22,"","","Magee Marsh--Boardwalk","L275986","H",41.6277095,-83.191884,5,13,2017,"17:10:00","obsr743521","S36808863","Traveling","P22","EBIRD",64,1.609,NA,2,1,"G2409701",0,1,0,NA,"72 degrees F and cloudy. ",""
"42",227927,"URN:CornellLabOfOrnithology:EBIRD:OBS600610251","8/5/2018 15:00",5920,"species","American Woodcock","Scolopax minor",NA,NA,"2","","","","United States","US","Wisconsin","US-WI","Waushara","US-WI-137","",23,"","4408818CE","N1753 County Road X, Berlin US-WI (44.0443,-88.9058)","L7229965","P",44.044324,-88.905787,4,15,2018,"18:41:00","obsr643684","S44616262","Traveling","P22","EBIRD_ATL_WI",70,2.595,NA,1,1,"",0,1,0,NA,"Traveling was done via cross country skis. There was over a foot of snow on the ground. ","Both individuals were flushed, no peenting was heard. "
"43",227374,"URN:CornellLabOfOrnithology:EBIRD:OBS518527910","7/14/2017 16:21",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","H ","C2","","United States","US","Wisconsin","US-WI","Vilas","US-WI-125","US-WI_3690",12,"","4608913NE","Tamarack Rd - CONI","L6086359","P",46.0868546,-89.3110156,7,10,2017,"21:51:00","obsr31111","S38132338","Traveling","P22","EBIRD_ATL_WI",5,0.322,NA,2,1,"",0,1,0,NA,"Heard CONI and WHIP and stopped to listen, then had AMWO in road.",""
"44",127603,"URN:CornellLabOfOrnithology:EBIRD:OBS252492995","8/5/2018 12:03",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Erie","US-OH-043","US-OH_2044",NA,"","","Sheldon Marsh State Nature Preserve","L275453","H",41.4174633,-82.6037213,5,10,2014,"20:55:00","obsr151557","S18327542","Traveling","P22","EBIRD",46,1.609,NA,1,1,"",0,1,0,NA,"<br />Submitted from BirdLog NA for iOS, version 1.7.1",""
"45",131655,"URN:CornellLabOfOrnithology:EBIRD:OBS404060591","8/6/2018 23:29",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Lucas","US-OH-095","US-OH_2044",22,"","","Magee Marsh--Boardwalk","L275986","H",41.6277095,-83.191884,5,16,2016,"8:15:00","obsr159137","S29723448","Traveling","P22","EBIRD",295,1.931,NA,3,1,"G1763538",0,1,0,NA,"Walking the Magee Boardwalk  <br />Submitted from eBird for iOS, version 1.2.0 Build 62",""
"46",226412,"URN:CornellLabOfOrnithology:EBIRD:OBS485333853","8/5/2018 14:40",5920,"species","American Woodcock","Scolopax minor",NA,NA,"5","","","","United States","US","Wisconsin","US-WI","Green Lake","US-WI-047","US-WI_3644",23,"","","puchyan prairie sna","L5693513","P",43.8896243,-89.0237267,4,13,2017,"19:15:00","obsr147997","S35936772","Traveling","P22","EBIRD_WI",75,0.805,NA,4,1,"",0,1,0,NA,"",""
"47",127497,"URN:CornellLabOfOrnithology:EBIRD:OBS319029756","8/5/2018 12:03",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Lucas","US-OH-095","US-OH_2044",22,"","","Magee Marsh--Boardwalk","L275986","H",41.6277095,-83.191884,5,9,2014,"6:43:00","obsr415085","S23408355","Traveling","P22","EBIRD",180,0.805,NA,2,1,"",0,1,0,NA,"",""
"48",137156,"URN:CornellLabOfOrnithology:EBIRD:OBS617982181","8/5/2018 14:10",5920,"species","American Woodcock","Scolopax minor",NA,NA,"2","","","","United States","US","Ohio","US-OH","Lucas","US-OH-095","US-OH_2044",22,"","","Magee Marsh--Boardwalk","L275986","H",41.6277095,-83.191884,5,13,2018,"10:00:00","obsr435401","S45682417","Traveling","P22","EBIRD",165,3.219,NA,1,1,"",0,1,0,NA,"",""
"49",140849,"URN:CornellLabOfOrnithology:EBIRD:OBS976250342","9/4/2020 10:54",5920,"species","American Woodcock","Scolopax minor",NA,NA,"2","","","","United States","US","Ohio","US-OH","Trumbull","US-OH-155","US-OH_2038",13,"","","Grand R. WA Hoffman Norton Rd. south: 5994 County Highway 213, Bristolville, Ohio, US (41.365, -80.913)","L8005655","P",41.3654404,-80.9130278,9,4,2020,"6:13:00","obsr1167188","S73169119","Traveling","P22","EBIRD",281,7.467,NA,1,1,"",0,1,0,NA,"",""
"50",230238,"URN:CornellLabOfOrnithology:EBIRD:OBS760851131","10/4/2019 14:26",5920,"species","American Woodcock","Scolopax minor",NA,NA,"2","FL","C4","","United States","US","Wisconsin","US-WI","Dane","US-WI-025","",23,"","4308923CW","Cherokee Marsh Conservation Park--North Unit","L2846310","H",43.1667973,-89.3649366,5,11,2019,"6:41:00","obsr497290","S56402007","Traveling","P22","EBIRD_ATL_WI",265,6.437,NA,1,1,"G4187644",0,1,0,NA,"","An adult near one of the trails had a baby with her.  (Thee may have been other chicks that I couldn't see.)"
"51",134813,"URN:CornellLabOfOrnithology:EBIRD:OBS583272271","4/16/2018 15:31",5920,"species","American Woodcock","Scolopax minor",NA,NA,"4","T ","C3","","United States","US","Ohio","US-OH","Ashtabula","US-OH-007","",13,"","","N Wayne Twp b/n SR193 & Hayes","L6965891","P",41.568405,-80.663244,2,28,2018,"17:38:00","obsr774232","S43275192","Stationary","P21","EBIRD",68,NA,NA,1,1,"",0,1,0,NA,"Cloudy, calm, no rain, still near 50 F","First call at 5:36 (twice). Did not resume calling until  5:51. First flight at 6:18.  Four were most observed at once: two ascending (side-by-side for 100â€™ or so), one descending, and one calling on the ground. Likely more"
"52",109296,"URN:CornellLabOfOrnithology:EBIRD:OBS591289420","8/5/2018 10:01",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","New York","US-NY","Queens","US-NY-081","US-NY_1722",30,"","","Jamaica Bay Wildlife Refuge","L165143","H",40.6170296,-73.8244561,3,24,2018,"6:22:00","obsr106513","S43918881","Traveling","P22","EBIRD",165,4.023,NA,1,1,"",0,1,0,NA,"","Peenting and display flight near the parking area. Maybe 2."
"53",137231,"URN:CornellLabOfOrnithology:EBIRD:OBS617268490","5/15/2018 22:52",5920,"species","American Woodcock","Scolopax minor",NA,NA,"1","","","","United States","US","Ohio","US-OH","Lucas","US-OH-095","US-OH_2044",22,"","","Magee Marsh--Boardwalk","L275986","H",41.6277095,-83.191884,5,13,2018,"15:21:00","obsr273316","S45641319","Traveling","P22","EBIRD",177,1.873,NA,2,1,"G3202809",0,1,0,NA,"",""
