institutionCode,collectionCode,datasetName,basisOfRecord,individualCount,occurrenceStatus,occurrenceRemarks,year,month,day,countryCode,stateProvince,county,locality,,,,,,,,identificationID,issue,mediaType,species,country
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,7,US,Illinois,Cook Co,Chicago, 1260 W Adams,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,11,6,US,Illinois,Cook Co,Chicago, 30 N LaSalle,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,5,3,US,Illinois,Cook Co,Chicago, 111 W Jackson,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,11,6,US,Illinois,Cook Co,Chicago, 50 W Washington,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,27,US,Illinois,Cook Co,Chicago, 633 N St Clair,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,3,US,Illinois,Cook Co,Chicago, 150 N Riverside,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,18,US,Illinois,Cook Co,Chicago, 300 N LaSalle,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,11,2,US,Illinois,Cook Co,Chicago, 111 E Wacker,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,11,2,US,Illinois,Cook Co,Chicago, 69 W Washington,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,20,US,Illinois,Cook Co,Chicago, 444 W Lake,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,11,4,US,Illinois,Cook Co,Chicago, 2124 W Rice,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,9,US,Illinois,Cook Co,Chicago, 35 W Wacker,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,3,US,Illinois,Cook Co,Chicago, 120 S Riverside,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,27,US,Illinois,Cook Co,Chicago, McCormick Place,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,21,US,Illinois,Cook Co,Chicago, 1714 N Mohawk,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,10,24,US,Illinois,Cook Co,Chicago, 111 E Wacker,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,11,1,US,Illinois,Cook Co,Chicago, 350 N Orleans,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,7,US,Illinois,Cook Co,Chicago, 1217 W Monroe,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,28,US,Illinois,Cook Co,Chicago, Kluczynski,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,14,US,Illinois,Cook Co,Chicago, 343 N Michigan,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,24,US,Illinois,Cook Co,Chicago, 1301 N LaSalle,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,5,11,US,Illinois,Cook Co,Chicago,,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,3,US,Illinois,Cook Co,Chicago, 330 N Wabash,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,26,US,Illinois,Cook Co,Chicago, 350 W Mart Center Dr,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,19,US,Illinois,Cook Co,Chicago, 300 S Riverside,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,15,US,Illinois,Cook Co,Chicago, 1611 W Harrison,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,11,7,US,Illinois,Cook Co,Chicago, Post Office,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,10,24,US,Illinois,Cook Co,Chicago, Dirksen,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,11,9,US,Illinois,Cook Co,Chicago, Blue Cross,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,12,US,Illinois,Cook Co,Chicago, Archer Ave and 35th St,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,12,US,Illinois,Cook Co,Chicago, 500 W Madison,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,16,US,Illinois,Cook Co,Chicago, 350 N Orleans,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,3,US,Illinois,Cook Co,Chicago, Daley Center,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,10,14,US,Illinois,Cook Co,Chicago, McCormick Place,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage;StillImage,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,27,US,Illinois,Cook Co,Chicago, Daley Center,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,16,US,Illinois,Cook Co,Chicago, Dirksen,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,5,20,US,Illinois,Cook Co,Evanston, Northwestern Univ, Kellogg Global Hub,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,11,8,US,Illinois,Cook Co,Chicago, 770 W Gladys Ave,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,20,US,Illinois,Cook Co,Evanston, Northwestern Univ, Ryan Athletic Center,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,2,US,Illinois,Cook Co,Chicago, 835 N Rush St,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,16,US,Illinois,Cook Co,Chicago, 215 N Milwaukee,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,14,US,Illinois,Cook Co,Chicago, 22 N Clinton,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,13,US,Illinois,Cook Co,Chicago, 233 Michigan Plaza,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,10,13,US,Illinois,Cook Co,Chicago, 77 W Wacker,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,6,1,US,Illinois,Cook Co,Chicago, Merchandise Mart,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,28,US,Illinois,Cook Co,Chicago, 300 N LaSalle,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,27,US,Illinois,Cook Co,Chicago, 550 W Adams,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,5,10,US,Illinois,Cook Co,Chicago, 77 W Jackson,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,9,US,Illinois,Cook Co,Chicago, McCormick Place,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,16,US,Illinois,Cook Co,Chicago, 333 W Wacker,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,28,US,Illinois,Cook Co,Chicago, 6208 N Lakewood,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,19,US,Illinois,Cook Co,Chicago, Dirksen,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,2,US,Illinois,Cook Co,Evanston, Northwestern Univ, Mudd Library,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,14,US,Illinois,Cook Co,Chicago, Post Office,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,11,9,US,Illinois,Cook Co,Chicago, Blue Cross,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,21,US,Illinois,Cook Co,Chicago, 1738 Artesian Ave,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,9,US,Illinois,Cook Co,Chicago, 444 W Lake,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,28,US,Illinois,Cook Co,Evanston, 807 Davis St,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,20,US,Illinois,Cook Co,Chicago, McCormick Place,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,28,US,Illinois,Cook Co,Chicago, 180 N LaSalle,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,4,11,US,Illinois,Cook Co,Chicago, 500 W Madison,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,11,2,US,Illinois,Cook Co,Chicago, 311 S Wacker,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,10,27,US,Illinois,Cook Co,Chicago, 77 W Jackson,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,5,5,US,Illinois,Cook Co,Chicago, 325 E Grand,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,5,30,US,Illinois,Cook Co,Chicago, 540 W Madison,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,11,4,US,Illinois,Cook Co,Chicago, 225 W Randolph,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,10,12,US,Illinois,Cook Co,Chicago, Westin River North,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,5,8,US,Illinois,Cook Co,Chicago, Lincoln Park,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2019,3,29,US,Illinois,Cook Co,Chicago, 1933 W Chase Ave,,,,,,,,,,Scolopax minor,
,Observations,"Observation.org, Nature data from around the World",HUMAN_OBSERVATION,1,PRESENT,,2019,6,10,US,,,United States - Allegany (MD),,,,,,,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED,,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2019,5,4,CA,Ontario,,Pelee (near Leamington), Essex County,,,,,,,,,StillImage;Sound,Scolopax minor,CAN
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2019,3,11,US,Pennsylvania,,Middletown Township (near Langhorne), Bucks County,,,,,,,,,Sound;StillImage,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2019,3,24,US,New Jersey,,Ernest Oros Nature Preserve, Avenel,,,,,,,,,Sound;StillImage,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2019,12,28,US,South Carolina,,Bunched Arrowhead Nature Preserve, Greenville County,,,,,,,,,Sound;StillImage,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2019,3,28,US,Massachusetts,,Sharon, Norfolk County,,,,,,,,,StillImage;Sound,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2019,5,13,CA,Ontario,,Pelee (near Leamington), Essex County,,,,,,,,,StillImage;Sound,Scolopax minor,CAN
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2019,1,28,US,South Carolina,,Bunched Arrowhead Nature Preserve, Greenville County,,,,,,,,,StillImage;Sound,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2019,4,16,US,Iowa,,Tama (near Burlington), Des Moines,,,,,,,,,StillImage;Sound,Scolopax minor,USA
,Bird sounds,Xeno-canto - Bird sounds from around the world,HUMAN_OBSERVATION,,PRESENT,,2019,4,16,US,Iowa,,Tama (near Burlington), Des Moines,,,,,,,,,StillImage;Sound,Scolopax minor,USA
YPM,VZ,"Vertebrate Zoology Division - Ornithology, Yale Peabody Museum",PRESERVED_SPECIMEN,1,PRESENT,"ORN number 152421; body mass=117.6 g; body parts=head, body; personal specimen number JKM 1",2018,6,3,US,Connecticut,Middlesex County,522 Route 148,,,,,,,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
CHAS,Bird eggs,CHAS Oology Collection (Arctos),PRESERVED_SPECIMEN,1,PRESENT,"INTERNAL REMARKS: Preparation notes: Eggs found broken in bird abdomen during specimen preparation. Bird's abdomen was full of fluid, possibly egg white, egg found and shell saved. Bird discarded due to decomposition.",2018,6,1,US,Illinois,Cook County,Theodore Stone Forest Preserve,,,,,,,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,Scolopax minor,
CHAS,Bird specimens,CHAS Ornithology (Arctos),PRESERVED_SPECIMEN,1,PRESENT,"INTERNAL REMARKS: Preparation notes: Eggs found in bird abdomen during specimen preparation. Bird's abdomen was full of fluid, possibly egg white, egg found and shell saved. Bird discarded due to decomposition.",2018,6,1,US,Illinois,Cook County,Theodore Stone Forest Preserve,,,,,,,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,10,15,US,Illinois,Cook Co,Chicago, McCormick Place,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,4,17,US,Illinois,Cook Co,Chicago, Univ of Booth School,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,4,6,US,Illinois,Cook Co,Chicago, 345 N LaSalle,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,11,9,US,Illinois,Cook Co,Chicago, 545 W Randolph,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,4,2,US,Illinois,Cook Co,Chicago, 10 S Wacker,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,4,1,US,Illinois,Cook Co,Chicago, 150 S Wacker,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,3,22,US,Illinois,Cook Co,Chicago, 1044 S Oakley,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,4,15,US,Illinois,Cook Co,Chicago, Daley Center,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,11,11,US,Illinois,Cook Co,Evanston, Northwestern Univ, Searle,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,11,7,US,Illinois,Cook Co,Chicago, Field Museum,,,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,5,26,US,Illinois,Cook Co,Chicago, 30 W Monroe,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,4,13,US,Illinois,Cook Co,Chicago, 10 S Riverside,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,10,26,US,Illinois,Cook Co,Chicago, 311 S Wacker,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,4,13,US,Illinois,Cook Co,Chicago, 225 Michigan Plaza,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,11,7,US,Illinois,Cook Co,Chicago, 1953 N Wabanasia Ave,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,4,6,US,Illinois,Cook Co,Chicago, 333 S Desplaines,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,5,26,US,Illinois,Cook Co,Chicago, 321 N Clark,,,,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,Scolopax minor,USA
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,3,1,US,Illinois,Cook Co,Chicago, LaSalle and Wells,,,,,,,,,,Scolopax minor,
FMNH,Birds,Field Museum of Natural History (Zoology) Bird Collection,PRESERVED_SPECIMEN,,PRESENT,,2018,4,25,US,Illinois,Cook Co,Chicago, Chase,,,,,,,,,,Scolopax minor,
