month,day,year,time_observed_at,description,place_guess,latitude,longitude,positional_accuracy,place_county_name,place_state_name
3,1,2018,2018-03-01 05:04:16 UTC,"Found dead around 9pm in the middle of the sidewalk, about 3 yards from road and from building. Lots of construction lights, glass walls on ground level restaurant, plenty of windows above in Newseum building. Right at the corner of 6th and C, so unlikely a car would have hit it; more likely window.","555 Pennsylvania Ave NW, Washington, DC, US",38.89346008,-77.01970157,33,District of Columbia,District of Columbia
12,19,2018,2018-12-19 22:16:00 UTC,Saw this bird huddling against the wall near our building. Never seen a bird like it before. ,"Southwest Federal Center, Washington, DC, USA",38.88303149,-77.01690087,52,District of Columbia,District of Columbia
3,13,2019,2019-03-13 22:46:40 UTC,Unfortunate bird strike.,"1700 Pennsylvania Ave NW, Washington, DC 20006, USA",38.89881516,-77.03981781,,District of Columbia,District of Columbia
3,11,2019,2019-03-11 23:09:38 UTC,Only audio,"Kenilworth Park (near soccer field in back of park),, Deane Ave NE, Washington, DC 20019, United States",38.90419402,-76.95477942,7,District of Columbia,District of Columbia
3,19,2019,2019-03-19 18:10:00 UTC,,"1800 L St NW, Washington, DC 20036, USA",38.90268318,-77.04176176,22,District of Columbia,District of Columbia
4,10,2019,2019-04-10 10:10:33 UTC,,"The United States National Arboretum, Washington, DC, US",38.91005364,-76.96352364,681,District of Columbia,District of Columbia
3,18,2016,2016-03-18 20:42:04 UTC,Struck a building,"Capitol Riverfront, Washington, DC 20003, USA",38.87675274,-77.00360533,66,District of Columbia,District of Columbia
10,10,2019,,Very sad sight on my morning bike commute. Observed at the intersection of 6th & L St NW.,"Mount Vernon Square, Washington, DC, USA",38.90422222,-77.01971944,,District of Columbia,District of Columbia
11,4,2019,2019-11-04 17:01:58 UTC,"Found dead beside Washington Monument, probably dropped by a hawk. Red-tailed & Red-shouldered hawks sometimes eat prey while perched above the windows 500 feet up.","Washington Monument, Washington, DC, US",38.88991693,-77.03533299,27,District of Columbia,District of Columbia
11,15,2019,2019-11-15 14:54:28 UTC,Just sitting there on the sidewalk in front of the FBI.,"Pennsylvania Ave NW, Washington, DC, US",38.89433667,-77.02494717,10,District of Columbia,District of Columbia
2,20,2020,2020-02-20 17:14:00 UTC,"""Peent"" calls","Rock Creek park Golf Course, Washington, DC, USA",38.9656614,-77.04013459,272,District of Columbia,District of Columbia
2,24,2020,2020-02-24 14:54:00 UTC,Heard the strike just before I took this photo. The bird perished a few minutes later.,"Northwest Washington, Washington, DC, USA",38.89154724,-77.02533922,31,District of Columbia,District of Columbia
3,5,2020,2020-03-05 23:28:00 UTC,,"Rock Creek Park, District of Columbia, District of Columbia, United States",38.96700167,-77.03955833,,District of Columbia,District of Columbia
3,8,2020,2020-03-08 23:44:27 UTC,,"Hayes St NE + Anacostia Ave NE, Washington, DC 20019, USA",38.9030339,-76.9490025,600,District of Columbia,District of Columbia
3,8,2020,2020-03-08 23:25:00 UTC,"""Peent"" calls and display twittering","6100 16th St NW, Washington, DC 20011, USA",38.9662828,-77.0402098,,District of Columbia,District of Columbia
3,4,2016,2016-03-04 23:27:12 UTC,,"Washington, DC, US",38.9089335,-76.94696528,114,District of Columbia,District of Columbia
3,13,2020,2020-03-13 15:00:00 UTC,,"Washington, DC 20036, USA",38.90643324,-77.04264455,237,District of Columbia,District of Columbia
2,7,2015,,,"Weekiwachee, FL",28.475859,-82.638474,144,Hernando,Florida
1,31,2015,2015-01-31 14:35:00 UTC,Several birds roding over this forested area. They are reliable at this location during the winter.,"Weekiwachee Preserve, FL",28.467409,-82.639246,98,Hernando,Florida
1,27,2015,,,"Weeki Wachee Preserve, FL",28.467861,-82.639074,214,Hernando,Florida
12,12,2017,2017-12-12 16:00:39 UTC,Flew into the window at Sapphire Falls resort. I thought it was dead but it slowly came to and seems to be doing fine. ,"Universal Studios, Orlando, FL, US",28.46728134,-81.47087918,30,Orange,Florida
1,2,2018,2018-01-02 19:30:25 UTC,,"1023 SE 48 Terrace, Gainesville, FL 32641, USA",29.64405823,-82.26600647,,Alachua,Florida
10,31,2018,2018-11-01 03:41:10 UTC,,United States,30.79064506,-87.0854047,67314,Santa Rosa,Florida
4,16,2012,2012-04-16 21:03:00 UTC,,"Florida, USA",27.6648274,-81.5157535,632583,Polk,Florida
11,17,2019,2019-11-17 22:06:59 UTC,,"Leon County, US-FL, US",30.4162769,-84.24483709,2104,Leon,Florida
2,7,2016,2016-02-07 12:30:00 UTC,Audio of song during flight display before sunrise. Historically known to be in this area during winter.,"Miami-Dade County, Everglades National Park, US-FL, US",25.389276,-80.641313,874,Miami-Dade,Florida
2,7,2016,2016-02-07 12:31:00 UTC,Series of “peent” calls given before sunrise.,"Miami-Dade County, Everglades National Park, US-FL, US",25.389572,-80.6416,1210,Miami-Dade,Florida
9,7,2020,2020-09-07 15:23:22 UTC,,"Florida, US",28.29935326,-80.66942252,473,Brevard,Florida
12,13,2015,2015-12-13 12:34:00 UTC,Long beak. It's a male. Nests on the ground. Approximately 18 inch wing span.,"31821, Omaha, GA, US",32.11357482,-84.84511196,169177,Stewart,Georgia
11,7,2016,2016-11-07 10:39:29 UTC,,"1201 W Peachtree St NW, Atlanta, GA, US",33.78718,-84.38777167,,Fulton,Georgia
2,9,2016,2016-02-09 12:19:00 UTC,,Ceramics,32.4175,-81.7882,,Bulloch,Georgia
6,24,2016,2016-06-24 13:28:00 UTC,,Herty Pines,32.4276,-81.7846,,Bulloch,Georgia
2,9,2016,2016-02-08 23:19:00 UTC,,Ceramics,32.4175,-81.7882,,Bulloch,Georgia
6,24,2016,2016-06-24 01:28:00 UTC,,Herty Pines,32.4276,-81.7846,,Bulloch,Georgia
2,13,2018,2018-02-13 23:35:00 UTC,"Male American Woodcock ""peenting"" as part of its courtship display.  A total of 3 male American Woodcock were heard/seen that evening.  Woodock calling in shrub/scrub wet meadow.  Property under a conservation easement held by Mainspring Conservation Trust.  Spring Peepers make the call a bit hard to hear, so may need to turn up the volume to hear the woodcock.","Hambidge Center, Rabun County, GA, USA",34.98590284,-83.44168246,30,Rabun,Georgia
3,27,2018,2018-03-28 03:41:08 UTC,,carters lake,34.621696,-84.893053,67,Murray,Georgia
11,24,2017,,,"Houston County, GA, USA",32.49278478,-83.69339227,122,Houston,Georgia
10,25,2018,2018-10-25 21:42:13 UTC,,"1446 Roswell St SE, Smyrna, GA, US",33.88806982,-84.51145467,49,Cobb,Georgia
2,12,2020,,,rogers bridge,34.033192,-84.141164,2661,Fulton,Georgia
3,24,2013,2013-03-24 17:01:44 UTC,This bird appeared to be stunned but otherwise unharmed. A museum volunteer created a temporary shelter for it outside where it could recover and be monitored.,"Lincoln Park, Chicago, Illinois, US",41.9275,-87.638718,1414,Cook,Illinois
10,19,2013,2013-10-19 20:17:37 UTC,,"Indian Road Woods Preserve, Chicago, Illinois, US",41.987861,-87.763438,5,Cook,Illinois
4,9,2014,2014-04-09 19:13:30 UTC,Sorry for disturbing you.  :( ,"Cook County, US-IL, US",42.041382,-87.79114485,3,Cook,Illinois
2,12,2015,,,"Wildcat Bluff, Johnson county, Illinois, U.S.A.",37.376971,-88.929695,,Johnson,Illinois
4,22,2016,,,Byron Forest Preserve,42.107297,-89.264849,49,Ogle,Illinois
5,2,2016,2016-05-02 17:01:37 UTC,,"Midewin National Tallgrass Prairie, Wilmington, IL, US",41.35135,-88.16989167,,Will,Illinois
6,7,2016,2016-06-07 20:27:49 UTC,"At the edge of a marsh. Almost stepped on the mother before she flushed, leaving this little guy to hide in the grass.","3471–3499 Buckley Rd, North Chicago, IL, US",42.3077979,-87.88345621,73,Lake,Illinois
3,7,2017,2017-03-08 00:07:10 UTC,peent,"13608 Fox Road Yorkville, IL 60560",41.62944601,-88.52487665,16,Kendall,Illinois
3,20,2017,2017-03-20 18:10:00 UTC,"American Woodcock (Scolopax minor) West Walker Chicago Cook County IL March 2017 Week #12 Jeff Skrentny IMG_2523

American Woodcock (Scolopax minor) West Walker Chicago Cook County IL March 2017 Week #12 Jeff Skrentny IMG_2530","West Walker neighborhood, Chicago, Cook County, IL, USA",41.957145,-87.718345,3,Cook,Illinois
3,20,2017,2017-03-20 19:12:00 UTC,Surprised one as we were planting in a restored wood near Robert Betts Prairie,"Pine Street & Kirk Road, Batavia, IL 60510, USA",41.838406,-88.261455,187,DuPage,Illinois
3,26,2017,2017-03-27 00:36:00 UTC,American Woodcock (Scolopax minor) LaBagh Woods Chicago Cook County IL March 2017 Week #13 Jeff Skrentny IMG_2945,"Illinois, US",41.95487513,-87.67124587,8,Cook,Illinois
4,1,2017,2017-04-01 23:37:56 UTC,,"1511 East 54th Street Chicago, IL 60615",41.79800544,-87.58897573,516,Cook,Illinois
4,19,2017,2017-04-19 23:55:27 UTC,Woodhen sitting on her nest,"I-94 E, Deerfield, IL, US",42.14553333,-87.83341167,,Cook,Illinois
4,20,2017,2017-04-20 13:25:32 UTC,"This bird has a plump body, short legs, a large, rounded head, and a long, straight bill. It has big, black eyes and I'm sure it was staring me down as I took this picture. It sat on the window ledge for a good 20 minutes until I had to leave for class and was gone when I came back.","6255 N Kenmore Ave, Chicago, IL, US",41.99625284,-87.65664099,10,Cook,Illinois
5,21,2017,2017-05-21 20:10:01 UTC,,"Forest Glen Chicago, IL",42.00266904,-87.78035121,12,Cook,Illinois
5,13,2017,2017-05-13 15:54:00 UTC,,"4100 Illinois 53, Lisle, IL 60532, USA",41.814386,-88.0709885,923,DuPage,Illinois
3,3,2018,2018-03-04 01:24:00 UTC,"mating dance began 20 minutes after sunset, calls started 10 minutes after sunset","Big Rock, IL 60511, USA",41.76481438,-88.5568066,661,Kane,Illinois
3,29,2018,2018-03-29 13:34:59 UTC,,"Chicago Park District, Chicago, IL, US",41.8182984,-87.64287062,20,Cook,Illinois
4,1,2018,2018-04-02 01:40:52 UTC,,"Chicago O'Hare International Airport, Chicago, IL, US",41.97845729,-87.90610716,1610,Cook,Illinois
4,3,2018,2018-04-03 12:28:02 UTC,,"Merchandise Mart, Chicago, IL, US",41.88819238,-87.63526116,93,Cook,Illinois
4,9,2018,2018-04-10 00:00:34 UTC,Found dead under the greenhouse windows at Northeastern Illinois University with a broken beak. Specimen was brought to the Field Museum to enter into collections. Collectors: Mark and Luna Johnston ,"Northeastern Illinois University, Chicago, IL, US",41.98024171,-87.71658404,19,Cook,Illinois
4,19,2018,2018-04-19 14:05:00 UTC,,"Jefferson Park, Chicago, IL, USA",41.98769859,-87.76375115,20,Cook,Illinois
4,20,2018,2018-04-20 19:50:41 UTC,,"14172-14254 Buckley Rd, Libertyville, IL 60048, USA",42.31156363,-87.91115731,516,Lake,Illinois
4,21,2018,2018-04-21 23:10:27 UTC,,"11834 S Calhoun Ave, Chicago, IL 60633, USA",41.67992783,-87.56204224,,Cook,Illinois
4,10,2018,2018-04-10 15:28:00 UTC,This poor guy must have died when he flew into the glass door of my dorm building.,1000 w loyola ave,42.001855,-87.656366,64224,Cook,Illinois
5,26,2018,2018-05-26 15:08:54 UTC,,"Northwestern University, Evanston, IL, US",42.05743883,-87.67291333,65,Cook,Illinois
5,29,2018,2018-05-29 16:33:49 UTC,,"Illinois, US",41.61046719,-87.64913324,15,Cook,Illinois
10,17,2018,2018-10-17 19:25:16 UTC,Found dead under train tracks,"4400–4498 N Ravenswood Ave, Chicago, IL, US",41.96321268,-87.67444566,10,Cook,Illinois
10,23,2018,2018-10-24 00:06:35 UTC,,"77 W Jackson Blvd, Chicago, IL, US",41.87804407,-87.63039974,64,Cook,Illinois
3,4,2016,2016-03-04 23:33:00 UTC,,"Westchester, Springfield, IL 62704, USA",39.75631093,-89.69785836,31,Sangamon,Illinois
11,7,2018,2018-11-07 18:56:39 UTC,,"Illinois, US",42.03016452,-87.7120839,,Cook,Illinois
11,15,2018,2018-11-15 14:20:00 UTC,,"Lincoln Park, Chicago, IL, USA",41.9193777,-87.63291629,325,Cook,Illinois
11,15,2018,2018-11-15 18:58:02 UTC,,"Lincoln Park Zoo, Chicago, IL, US",41.92120895,-87.63236364,10,Cook,Illinois
11,18,2018,2018-11-18 06:21:31 UTC,,"71 S Wacker Dr, Chicago, IL 60606, USA",41.88098907,-87.63574219,,Cook,Illinois
4,19,2018,2018-04-19 17:14:00 UTC,,"Cook County, IL, USA",42.15072634,-87.78435804,15,Cook,Illinois
3,14,2019,,Found dead below a large window,"North Park, Chicago, IL, USA",41.98124251,-87.7080772,8,Cook,Illinois
3,20,2019,,,Seversen Dells Nature Center,42.228542,-89.175789,393,Winnebago,Illinois
3,29,2019,2019-03-30 00:09:00 UTC,,"Lincoln Square, Chicago, IL, USA",41.98487609,-87.68812559,87,Cook,Illinois
3,30,2019,2019-03-30 14:19:12 UTC,Deceased ,"1242 N Hoyne Ave, Chicago, IL 60622, USA",41.90454159,-87.68024694,352,Cook,Illinois
4,1,2019,2019-04-01 17:06:19 UTC,,"Channahon, IL 60410, USA",41.36997569,-88.16026814,44,Will,Illinois
4,1,2019,2019-04-01 22:10:37 UTC,,"101–125 W Washington St, Chicago, IL, US",41.88322833,-87.630975,2000,Cook,Illinois
4,5,2019,2019-04-05 22:51:17 UTC,,"2035 N Dayton St, Chicago, IL 60614, USA",41.91926956,-87.64961243,,Cook,Illinois
4,3,2019,2019-04-03 12:42:23 UTC,,"1800 S Prairie Dr, Sycamore, IL, US",41.9675675,-88.69584053,145,De Kalb,Illinois
4,24,2019,2019-04-24 15:52:28 UTC,,"1 E McCormick Sq, Chicago, IL, US",41.852275,-87.61927,65,Cook,Illinois
4,24,2019,2019-04-24 07:56:50 UTC,,"23992–24370 W Smiley Rd, Braidwood, IL, US",41.24648333,-88.19850333,6,Will,Illinois
5,2,2019,2019-05-02 16:26:57 UTC,We scared up a woodcock that was only a couple feet away - knew there must be chicks. Took photos and quickly left so mom would come back and warm up the babies. ,"600 Waukegan Rd, Northbrook, IL, US",42.14414717,-87.83229667,10,Cook,Illinois
5,5,2019,2019-05-05 18:18:39 UTC,,United States,42.46133163,-88.20061911,5,McHenry,Illinois
5,5,2019,2019-05-05 18:41:40 UTC,Inadvertently scared up a woodcock hen. Took quick photo and exited the scene. ,"360 S Waukegan Rd, Northbrook, IL, US",42.14551117,-87.83206167,66,Cook,Illinois
5,7,2019,2019-05-08 01:30:00 UTC,peent,United States,42.49991175,-88.35949779,186,McHenry,Illinois
5,7,2019,2019-05-08 01:30:00 UTC,display flight twitter,United States,42.5436108,-88.26640133,186,McHenry,Illinois
5,10,2019,2019-05-10 20:22:00 UTC,Accidentally spooked a woodcock off her nest and quickly left after taking a photo. ,"Cook County, IL, USA",42.14264839,-87.786308,,Cook,Illinois
5,11,2019,2019-05-11 15:21:26 UTC,Flushed woodhen off nest,"Illinois, US",42.0700127,-87.67625139,6,Cook,Illinois
6,1,2019,2019-06-01 20:40:17 UTC,,"W 143rd St, Homer Glen, IL, US",41.62764338,-88.00575115,22,Will,Illinois
6,16,2019,2019-06-16 20:10:32 UTC,Maybe?,"Illinois, US",41.96298446,-88.30891845,11,Kane,Illinois
4,8,2018,2018-04-08 16:22:00 UTC,,"Park 566, South Chicago, Chicago, IL, USA",41.74975352,-87.53812657,108,Cook,Illinois
6,24,2019,2019-06-24 16:30:16 UTC,,"154 Forestview Dr, Northbrook, IL, US",42.1428805,-87.81558333,5,Cook,Illinois
3,23,2013,2013-03-23 18:01:00 UTC,,"Peoria, IL, USA",40.76578528,-89.62792472,26,Peoria,Illinois
7,25,2019,2019-07-25 21:59:30 UTC,,"Chicago & Kilbourn, Chicago, IL 60651, USA",41.89433216,-87.7375054,66,Cook,Illinois
8,28,2019,2019-08-28 15:20:00 UTC,,"Downers Grove North High School, Downers Grove, IL, US",41.80490833,-88.01098612,65,DuPage,Illinois
4,19,2019,2019-04-19 15:38:06 UTC,,"Gardner, IL, US",41.18992167,-88.22708,6,Kankakee,Illinois
10,6,2019,2019-10-06 20:10:24 UTC,,United States,42.40038489,-88.35501474,112,McHenry,Illinois
10,16,2019,2019-10-16 14:07:00 UTC,,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",41.97806037,-87.7411354,11,Cook,Illinois
10,22,2019,2019-10-22 11:17:40 UTC,,"The University of Chicago, Chicago, IL, US",41.791625,-87.60266167,10,Cook,Illinois
3,23,2019,2019-03-23 23:05:00 UTC,"Pretty much all of these are pretty bad, but in the field the ID's were clear, and even if you brighten them slightly, and zoom in you can see. ","Cook County, IL, USA",41.54501048,-87.75960098,15,Cook,Illinois
3,8,2020,2020-03-09 02:14:51 UTC,,"S Clark St, Chicago, IL, US",41.87810256,-87.63079508,65,Cook,Illinois
3,8,2020,2020-03-08 13:28:00 UTC,,"Spring Bluff FP, Lake County, IL, USA",42.48485304,-87.80603869,5,Lake,Illinois
3,11,2020,2020-03-11 16:21:28 UTC,,"South Deering, Chicago, IL, USA",41.71155257,-87.57222067,6,Cook,Illinois
3,11,2020,2020-03-12 00:22:00 UTC,Audio courtesy of Jeff Bilsky,"Air Station Prairie Preserve, Glenview, Cook County, IL, USA",42.10046111,-87.81879399,31,Cook,Illinois
3,15,2020,2020-03-15 17:43:56 UTC,somebody got a good lunch,"O'Brien Lock & Dam, Hegewisch, Chicago, Cook County, IL, USA",41.65187464,-87.56907256,5,Cook,Illinois
3,18,2020,2020-03-18 17:35:32 UTC,Two in area (one flew away before I could take pic). Been hearing one at night in prairie near this sighting. It was doing that lil bobbing thing they do. ,"N Talcott Rd, Park Ridge, IL, US",42.01481922,-87.86319631,357,Cook,Illinois
5,9,2019,,,"Chicago, IL 60640, USA",41.9631998,-87.6331366,186,Cook,Illinois
3,19,2020,2020-03-19 09:49:45 UTC,Found dead in Linne Prairie. Might have been window collision fatality from nearby houses. ,"Morton Grove, IL, US",42.04681945,-87.78608198,756,Cook,Illinois
3,17,2011,,eBird import | https://ebird.org/checklist/S7883939,Volo Bog State Natural Area,42.3521378,-88.1863546,,Lake,Illinois
3,18,2011,,eBird import | https://ebird.org/checklist/S7884112,Volo Bog State Natural Area,42.3521378,-88.1863546,,Lake,Illinois
3,21,2020,2020-03-22 00:57:27 UTC,,"Illinois, US",42.07496781,-87.65518766,8,Cook,Illinois
3,24,2020,2020-03-24 14:54:25 UTC,,"S Heritage Dr, Fisher, IL, US",40.31507,-88.3577435,50,Champaign,Illinois
3,30,2020,,"Reluctant to move, either was committed to its camouflage or on a nest.","Alder/Gartner, Naperville, IL 60540, USA",41.75083914,-88.15353513,16829,DuPage,Illinois
