Year,State,Woodcock Harvest,WH per,Active Hunters,AH per,Hunters Days Afield,HAD per,Harvest per Hunter,HPH per
2019,PA,2700,45,4100,44,12000,45,0.7,63
2015,RI,100,130,100,92,200,54,1.4,160
2016,RI,200,68,100,92,300,73,2.5,114
2017,RI,200,171,50,88,300,121,4.3,193
2018,RI,200,81,100,104,700,86,1.5,132
2019,RI,200,76,100,88,800,54,1.3,116
2015,SC,1900,97,2800,104,13900,131,0.7,142
2016,SC,1200,59,200,28,1100,39,5.6,65
2017,SC,4700,145,1400,164,4500,152,3.4,219
2018,SC,1200,73,1900,168,2800,117,0.7,183
2019,SC,1300,52,200,28,1200,39,5.5,59
2015,TN,0,0,0,0,0,0,0,0
2016,TN,0,0,1400,191,9800,194,0,0
2017,TN,100,193,1300,187,2600,183,0.1,268
2018,TN,300,158,200,104,600,105,1.7,189
2019,TN,5000,187,160,192,11300,194,3.1,268
2015,TX,900,169,100,73,600,112,6.5,184
2016,TX,12100,181,11300,136,28400,139,1.1,226
2017,TX,0,0,12100,138,12100,138,0,0
2018,TX,0,0,0,0,0,0,0,0
2019,TX,2800,115,300,92,1300,115,10.7,148
2015,US ,200200,15,95600,0,399700,13,NA,NA
2016,US ,202300,16,104800,0,396300,16,NA,NA
2017,US ,203500,17,103300,0,387700,13,NA,NA
2018,US ,180200,19,87800,0,345100,22,NA,NA
2019,US ,171300,22,78000,0,317800,18,NA,NA
2015,VA,3200,55,1000,86,3200,47,3.3,102
2016,VA,1900,35,700,94,2600,55,2.6,100
2017,VA,3400,104,1700,80,4500,85,2,131
2018,VA,2200,59,2700,83,5300,75,0.8,102
2019,VA,1500,64,800,125,3300,99,1.8,141
2015,VT,3400,47,1200,31,6000,36,2.7,56
2016,VT,5300,59,1800,25,10500,38,2.9,64
2017,VT,3400,33,1300,30,5800,28,2.7,44
2018,VT,2200,42,900,22,4300,25,2.5,48
2019,VT,2900,45,1200,46,5200,42,2.3,64
2015,WI,3100,25,14700,27,66600,29,2.1,37
2016,WI,35100,25,11700,28,55100,32,3,38
2017,WI,31100,29,11700,29,52400,29,2.7,41
2018,WI,25500,33,10800,37,45900,40,2.4,50
2019,WI,26800,39,9500,35,47000,39,2.8,52
2015,WV,700,52,400,56,1200,40,2.1,76
2016,WV,700,57,400,58,1600,61,1.9,81
2017,WV,500,52,400,61,800,38,1.2,80
2018,WV,300,47,100,28,400,41,2.7,55
2019,WV,400,54,300,72,700,46,1.3,90
